Product,ASIN,Aspect,amod_pct,amod_polar_word_pct,n_reviews,is_aspect
"Cyber Acoustics 30 Watt Powered Speakers with Subwoofer for PC and Gaming Systems in Standard Packaging, (CA-3602a)",B0027VT6V4,bit,0.117,0.84,97,0
"Cyber Acoustics 30 Watt Powered Speakers with Subwoofer for PC and Gaming Systems in Standard Packaging, (CA-3602a)",B0027VT6V4,tv,0.052,0.6,94,0
SanDisk 16GB Mobile MicroSDHC Class 4 Flash Memory Card- SDSDQM-016G-B35N,B004G6002M,card,0.126,0.44,649,1
SanDisk 16GB Mobile MicroSDHC Class 4 Flash Memory Card- SDSDQM-016G-B35N,B004G6002M,phone,0.092,0.75,414,0
SanDisk 16GB Mobile MicroSDHC Class 4 Flash Memory Card- SDSDQM-016G-B35N,B004G6002M,memory,0.293,0.45,383,1
SanDisk 16GB Mobile MicroSDHC Class 4 Flash Memory Card- SDSDQM-016G-B35N,B004G6002M,sandisk,0.091,0.78,304,0
SanDisk 16GB Mobile MicroSDHC Class 4 Flash Memory Card- SDSDQM-016G-B35N,B004G6002M,tablet,0.033,0.56,249,0
SanDisk 16GB Mobile MicroSDHC Class 4 Flash Memory Card- SDSDQM-016G-B35N,B004G6002M,sd,0.236,0.15,193,0
SanDisk 16GB Mobile MicroSDHC Class 4 Flash Memory Card- SDSDQM-016G-B35N,B004G6002M,music,0.061,0.72,187,1
SanDisk 16GB Mobile MicroSDHC Class 4 Flash Memory Card- SDSDQM-016G-B35N,B004G6002M,storage,0.284,0.29,180,1
SanDisk 16GB Mobile MicroSDHC Class 4 Flash Memory Card- SDSDQM-016G-B35N,B004G6002M,galaxy,0.075,0.75,170,0
SanDisk 16GB Mobile MicroSDHC Class 4 Flash Memory Card- SDSDQM-016G-B35N,B004G6002M,samsung,0,nan,148,0
SanDisk 16GB Mobile MicroSDHC Class 4 Flash Memory Card- SDSDQM-016G-B35N,B004G6002M,space,0.367,0.48,147,1
SanDisk 16GB Mobile MicroSDHC Class 4 Flash Memory Card- SDSDQM-016G-B35N,B004G6002M,speed,0.252,0.39,127,1
SanDisk 16GB Mobile MicroSDHC Class 4 Flash Memory Card- SDSDQM-016G-B35N,B004G6002M,video,0.072,0.5,126,1
SanDisk 16GB Mobile MicroSDHC Class 4 Flash Memory Card- SDSDQM-016G-B35N,B004G6002M,class,0.066,0.58,113,0
SanDisk 16GB Mobile MicroSDHC Class 4 Flash Memory Card- SDSDQM-016G-B35N,B004G6002M,data,0.126,0.64,106,1
SanDisk 16GB Mobile MicroSDHC Class 4 Flash Memory Card- SDSDQM-016G-B35N,B004G6002M,camera,0.164,0.34,103,1
SanDisk 16GB Mobile MicroSDHC Class 4 Flash Memory Card- SDSDQM-016G-B35N,B004G6002M,gb,0.06,0.63,102,0
SanDisk 16GB Mobile MicroSDHC Class 4 Flash Memory Card- SDSDQM-016G-B35N,B004G6002M,picture,0.051,0.63,100,1
SanDisk 16GB Mobile MicroSDHC Class 4 Flash Memory Card- SDSDQM-016G-B35N,B004G6002M,flash,0.083,0,92,0
SanDisk 16GB Mobile MicroSDHC Class 4 Flash Memory Card- SDSDQM-016G-B35N,B004G6002M,32gb,0.069,0.6,87,0
AmazonBasics Digital Optical Audio Toslink Cable - 6 Feet (1.8 Meters),B001TH7GSW,cable,0.24,0.36,800,1
AmazonBasics Digital Optical Audio Toslink Cable - 6 Feet (1.8 Meters),B001TH7GSW,quality,0.382,0.88,338,1
AmazonBasics Digital Optical Audio Toslink Cable - 6 Feet (1.8 Meters),B001TH7GSW,sound,0.163,0.67,276,1
AmazonBasics Digital Optical Audio Toslink Cable - 6 Feet (1.8 Meters),B001TH7GSW,tv,0.058,0.74,221,0
AmazonBasics Digital Optical Audio Toslink Cable - 6 Feet (1.8 Meters),B001TH7GSW,audio,0.199,0.21,182,1
AmazonBasics Digital Optical Audio Toslink Cable - 6 Feet (1.8 Meters),B001TH7GSW,end,0.142,0.58,141,0
AmazonBasics Digital Optical Audio Toslink Cable - 6 Feet (1.8 Meters),B001TH7GSW,system,0.186,0.76,129,0
AmazonBasics Digital Optical Audio Toslink Cable - 6 Feet (1.8 Meters),B001TH7GSW,receiver,0.086,0.62,99,0
AmazonBasics Digital Optical Audio Toslink Cable - 6 Feet (1.8 Meters),B001TH7GSW,toslink,0.037,0.5,96,0
AmazonBasics Digital Optical Audio Toslink Cable - 6 Feet (1.8 Meters),B001TH7GSW,amazonbasics,0.357,0.2,85,0
AmazonBasics Digital Optical Audio Toslink Cable - 6 Feet (1.8 Meters),B001TH7GSW,bar,0.154,0.92,81,0
AmazonBasics Digital Optical Audio Toslink Cable - 6 Feet (1.8 Meters),B001TH7GSW,connection,0.308,0.34,76,1
AmazonBasics Digital Optical Audio Toslink Cable - 6 Feet (1.8 Meters),B001TH7GSW,plastic,0.273,0.56,74,1
AmazonBasics Digital Optical Audio Toslink Cable - 6 Feet (1.8 Meters),B001TH7GSW,home,0.125,1,67,0
AmazonBasics Digital Optical Audio Toslink Cable - 6 Feet (1.8 Meters),B001TH7GSW,store,0.304,0.06,65,0
AmazonBasics Digital Optical Audio Toslink Cable - 6 Feet (1.8 Meters),B001TH7GSW,job,0.144,0.77,65,0
AmazonBasics Digital Optical Audio Toslink Cable - 6 Feet (1.8 Meters),B001TH7GSW,box,0.136,0.25,62,0
AmazonBasics Digital Optical Audio Toslink Cable - 6 Feet (1.8 Meters),B001TH7GSW,hdmi,0.016,1,61,0
AmazonBasics Digital Optical Audio Toslink Cable - 6 Feet (1.8 Meters),B001TH7GSW,money,0.185,0.7,60,0
AmazonBasics Digital Optical Audio Toslink Cable - 6 Feet (1.8 Meters),B001TH7GSW,connector,0.17,0.25,59,1
Kingston Digital DataTraveler SE9 8GB USB 2.0 DTSE9H/8GBZ,B006W8U2MU,drive,0.171,0.66,634,1
Kingston Digital DataTraveler SE9 8GB USB 2.0 DTSE9H/8GBZ,B006W8U2MU,usb,0.141,0.57,487,0
Kingston Digital DataTraveler SE9 8GB USB 2.0 DTSE9H/8GBZ,B006W8U2MU,flash,0.089,0.4,334,1
Kingston Digital DataTraveler SE9 8GB USB 2.0 DTSE9H/8GBZ,B006W8U2MU,key,0.118,0.58,321,1
Kingston Digital DataTraveler SE9 8GB USB 2.0 DTSE9H/8GBZ,B006W8U2MU,keychain,0.028,0.67,261,1
Kingston Digital DataTraveler SE9 8GB USB 2.0 DTSE9H/8GBZ,B006W8U2MU,metal,0.225,0.15,240,1
Kingston Digital DataTraveler SE9 8GB USB 2.0 DTSE9H/8GBZ,B006W8U2MU,size,0.232,0.61,191,1
Kingston Digital DataTraveler SE9 8GB USB 2.0 DTSE9H/8GBZ,B006W8U2MU,file,0.317,0.54,187,1
Kingston Digital DataTraveler SE9 8GB USB 2.0 DTSE9H/8GBZ,B006W8U2MU,chain,0.32,0.02,185,0
Kingston Digital DataTraveler SE9 8GB USB 2.0 DTSE9H/8GBZ,B006W8U2MU,speed,0.296,0.48,181,1
Kingston Digital DataTraveler SE9 8GB USB 2.0 DTSE9H/8GBZ,B006W8U2MU,ring,0.287,0.08,171,1
Kingston Digital DataTraveler SE9 8GB USB 2.0 DTSE9H/8GBZ,B006W8U2MU,design,0.22,0.55,159,1
Kingston Digital DataTraveler SE9 8GB USB 2.0 DTSE9H/8GBZ,B006W8U2MU,port,0.094,0.27,146,1
Kingston Digital DataTraveler SE9 8GB USB 2.0 DTSE9H/8GBZ,B006W8U2MU,data,0.204,0.68,135,1
Kingston Digital DataTraveler SE9 8GB USB 2.0 DTSE9H/8GBZ,B006W8U2MU,kingston,0.109,0.8,129,0
Kingston Digital DataTraveler SE9 8GB USB 2.0 DTSE9H/8GBZ,B006W8U2MU,computer,0.155,0.56,120,0
Kingston Digital DataTraveler SE9 8GB USB 2.0 DTSE9H/8GBZ,B006W8U2MU,cap,0.033,0.43,94,1
Kingston Digital DataTraveler SE9 8GB USB 2.0 DTSE9H/8GBZ,B006W8U2MU,case,0.143,0.54,91,1
Kingston Digital DataTraveler SE9 8GB USB 2.0 DTSE9H/8GBZ,B006W8U2MU,storage,0.222,0.29,89,1
Kingston Digital DataTraveler SE9 8GB USB 2.0 DTSE9H/8GBZ,B006W8U2MU,transfer,0.039,0.67,88,1
AmazonBasics Apple Certified Lightning to USB Cable - 3 Feet (0.9 Meters) - Black,B009SYZ8OC,cable,0.185,0.51,1644,1
AmazonBasics Apple Certified Lightning to USB Cable - 3 Feet (0.9 Meters) - Black,B009SYZ8OC,apple,0.076,0.45,1302,0
AmazonBasics Apple Certified Lightning to USB Cable - 3 Feet (0.9 Meters) - Black,B009SYZ8OC,iphone,0.032,0.79,776,0
AmazonBasics Apple Certified Lightning to USB Cable - 3 Feet (0.9 Meters) - Black,B009SYZ8OC,case,0.091,0.54,599,1
AmazonBasics Apple Certified Lightning to USB Cable - 3 Feet (0.9 Meters) - Black,B009SYZ8OC,lightning,0.048,0.5,512,1
AmazonBasics Apple Certified Lightning to USB Cable - 3 Feet (0.9 Meters) - Black,B009SYZ8OC,quality,0.35,0.86,453,1
AmazonBasics Apple Certified Lightning to USB Cable - 3 Feet (0.9 Meters) - Black,B009SYZ8OC,phone,0.016,0.44,425,0
AmazonBasics Apple Certified Lightning to USB Cable - 3 Feet (0.9 Meters) - Black,B009SYZ8OC,cord,0.18,0.46,405,1
AmazonBasics Apple Certified Lightning to USB Cable - 3 Feet (0.9 Meters) - Black,B009SYZ8OC,end,0.058,0.15,342,0
AmazonBasics Apple Certified Lightning to USB Cable - 3 Feet (0.9 Meters) - Black,B009SYZ8OC,connector,0.116,0.34,339,1
AmazonBasics Apple Certified Lightning to USB Cable - 3 Feet (0.9 Meters) - Black,B009SYZ8OC,car,0.022,0.43,273,0
AmazonBasics Apple Certified Lightning to USB Cable - 3 Feet (0.9 Meters) - Black,B009SYZ8OC,charger,0.149,0.43,271,0
AmazonBasics Apple Certified Lightning to USB Cable - 3 Feet (0.9 Meters) - Black,B009SYZ8OC,ipad,0.028,0.57,266,0
AmazonBasics Apple Certified Lightning to USB Cable - 3 Feet (0.9 Meters) - Black,B009SYZ8OC,length,0.261,0.37,264,1
AmazonBasics Apple Certified Lightning to USB Cable - 3 Feet (0.9 Meters) - Black,B009SYZ8OC,usb,0.097,0.33,221,0
AmazonBasics Apple Certified Lightning to USB Cable - 3 Feet (0.9 Meters) - Black,B009SYZ8OC,plug,0.035,0.28,186,1
AmazonBasics Apple Certified Lightning to USB Cable - 3 Feet (0.9 Meters) - Black,B009SYZ8OC,amazonbasics,0.129,0.25,175,0
AmazonBasics Apple Certified Lightning to USB Cable - 3 Feet (0.9 Meters) - Black,B009SYZ8OC,oem,0.083,0,148,0
AmazonBasics Apple Certified Lightning to USB Cable - 3 Feet (0.9 Meters) - Black,B009SYZ8OC,bit,0.09,0.63,144,0
AmazonBasics Apple Certified Lightning to USB Cable - 3 Feet (0.9 Meters) - Black,B009SYZ8OC,plastic,0.122,0.55,125,1
AmazonBasics USB 2.0 Extension Cable - A-Male to A-Female - 9.8 Feet (3 Meters),B001TH7GUU,cable,0.155,0.53,666,1
AmazonBasics USB 2.0 Extension Cable - A-Male to A-Female - 9.8 Feet (3 Meters),B001TH7GUU,usb,0.103,0.3,443,0
AmazonBasics USB 2.0 Extension Cable - A-Male to A-Female - 9.8 Feet (3 Meters),B001TH7GUU,extension,0.106,0.47,335,1
AmazonBasics USB 2.0 Extension Cable - A-Male to A-Female - 9.8 Feet (3 Meters),B001TH7GUU,quality,0.332,0.92,245,1
AmazonBasics USB 2.0 Extension Cable - A-Male to A-Female - 9.8 Feet (3 Meters),B001TH7GUU,cord,0.161,0.45,193,1
AmazonBasics USB 2.0 Extension Cable - A-Male to A-Female - 9.8 Feet (3 Meters),B001TH7GUU,computer,0.074,0.5,140,0
AmazonBasics USB 2.0 Extension Cable - A-Male to A-Female - 9.8 Feet (3 Meters),B001TH7GUU,length,0.283,0.48,112,1
AmazonBasics USB 2.0 Extension Cable - A-Male to A-Female - 9.8 Feet (3 Meters),B001TH7GUU,foot,0.133,0.36,96,0
AmazonBasics USB 2.0 Extension Cable - A-Male to A-Female - 9.8 Feet (3 Meters),B001TH7GUU,end,0.222,0.26,84,0
AmazonBasics USB 2.0 Extension Cable - A-Male to A-Female - 9.8 Feet (3 Meters),B001TH7GUU,amazonbasics,0.107,0.33,81,0
AmazonBasics USB 2.0 Extension Cable - A-Male to A-Female - 9.8 Feet (3 Meters),B001TH7GUU,phone,0.021,0.67,81,0
AmazonBasics USB 2.0 Extension Cable - A-Male to A-Female - 9.8 Feet (3 Meters),B001TH7GUU,charger,0.093,0.28,81,0
AmazonBasics USB 2.0 Extension Cable - A-Male to A-Female - 9.8 Feet (3 Meters),B001TH7GUU,connection,0.243,0.5,81,1
AmazonBasics USB 2.0 Extension Cable - A-Male to A-Female - 9.8 Feet (3 Meters),B001TH7GUU,port,0.07,0.29,74,1
AmazonBasics USB 2.0 Extension Cable - A-Male to A-Female - 9.8 Feet (3 Meters),B001TH7GUU,iphone,0.049,0.6,68,0
AmazonBasics USB 2.0 Extension Cable - A-Male to A-Female - 9.8 Feet (3 Meters),B001TH7GUU,connector,0.336,0.4,67,1
AmazonBasics USB 2.0 Extension Cable - A-Male to A-Female - 9.8 Feet (3 Meters),B001TH7GUU,mouse,0.085,0.08,66,0
AmazonBasics USB 2.0 Extension Cable - A-Male to A-Female - 9.8 Feet (3 Meters),B001TH7GUU,desk,0.051,0.25,64,0
AmazonBasics USB 2.0 Extension Cable - A-Male to A-Female - 9.8 Feet (3 Meters),B001TH7GUU,keyboard,0.126,0.21,57,0
AmazonBasics USB 2.0 Extension Cable - A-Male to A-Female - 9.8 Feet (3 Meters),B001TH7GUU,job,0.138,1,57,0
Amazon Kindle 9W PowerFast Adapter for Accelerated Charging,B006GWO5WK,kindle,0.052,0.74,1333,0
Amazon Kindle 9W PowerFast Adapter for Accelerated Charging,B006GWO5WK,charger,0.196,0.56,834,1
Amazon Kindle 9W PowerFast Adapter for Accelerated Charging,B006GWO5WK,fire,0.063,0.86,689,0
Amazon Kindle 9W PowerFast Adapter for Accelerated Charging,B006GWO5WK,usb,0.165,0.23,357,1
Amazon Kindle 9W PowerFast Adapter for Accelerated Charging,B006GWO5WK,hd,0.019,0.8,342,0
Amazon Kindle 9W PowerFast Adapter for Accelerated Charging,B006GWO5WK,charge,0.025,0.6,335,1
Amazon Kindle 9W PowerFast Adapter for Accelerated Charging,B006GWO5WK,computer,0.014,0.5,239,0
Amazon Kindle 9W PowerFast Adapter for Accelerated Charging,B006GWO5WK,hour,0.094,0.62,209,0
Amazon Kindle 9W PowerFast Adapter for Accelerated Charging,B006GWO5WK,phone,0.05,0.76,173,0
Amazon Kindle 9W PowerFast Adapter for Accelerated Charging,B006GWO5WK,power,0.103,0.64,160,1
Amazon Kindle 9W PowerFast Adapter for Accelerated Charging,B006GWO5WK,adapter,0.143,0.57,159,1
Amazon Kindle 9W PowerFast Adapter for Accelerated Charging,B006GWO5WK,plug,0.032,0.33,154,1
Amazon Kindle 9W PowerFast Adapter for Accelerated Charging,B006GWO5WK,cord,0.119,0.28,142,1
Amazon Kindle 9W PowerFast Adapter for Accelerated Charging,B006GWO5WK,cable,0.118,0.27,141,1
Amazon Kindle 9W PowerFast Adapter for Accelerated Charging,B006GWO5WK,wall,0.141,0.44,129,0
Amazon Kindle 9W PowerFast Adapter for Accelerated Charging,B006GWO5WK,prong,0.099,0.06,111,1
Amazon Kindle 9W PowerFast Adapter for Accelerated Charging,B006GWO5WK,battery,0.138,0.45,110,0
Amazon Kindle 9W PowerFast Adapter for Accelerated Charging,B006GWO5WK,port,0.044,0.18,103,1
Amazon Kindle 9W PowerFast Adapter for Accelerated Charging,B006GWO5WK,tablet,0.077,0.71,97,0
Amazon Kindle 9W PowerFast Adapter for Accelerated Charging,B006GWO5WK,job,0.208,0.81,93,0
WD Elements 500 GB USB 2.0 Desktop External Hard Drive,B002QEBMAK,drive,0.288,0.56,765,1
WD Elements 500 GB USB 2.0 Desktop External Hard Drive,B002QEBMAK,wd,0.12,0.35,304,0
WD Elements 500 GB USB 2.0 Desktop External Hard Drive,B002QEBMAK,usb,0.05,0.47,269,1
WD Elements 500 GB USB 2.0 Desktop External Hard Drive,B002QEBMAK,computer,0.108,0.39,242,0
WD Elements 500 GB USB 2.0 Desktop External Hard Drive,B002QEBMAK,backup,0.147,0.27,235,1
WD Elements 500 GB USB 2.0 Desktop External Hard Drive,B002QEBMAK,file,0.183,0.52,224,1
WD Elements 500 GB USB 2.0 Desktop External Hard Drive,B002QEBMAK,digital,0.16,0.09,177,0
WD Elements 500 GB USB 2.0 Desktop External Hard Drive,B002QEBMAK,power,0.06,0.3,176,1
WD Elements 500 GB USB 2.0 Desktop External Hard Drive,B002QEBMAK,storage,0.311,0.32,163,1
WD Elements 500 GB USB 2.0 Desktop External Hard Drive,B002QEBMAK,data,0.158,0.5,162,1
WD Elements 500 GB USB 2.0 Desktop External Hard Drive,B002QEBMAK,tb,0.029,0.17,140,0
WD Elements 500 GB USB 2.0 Desktop External Hard Drive,B002QEBMAK,space,0.37,0.64,138,1
WD Elements 500 GB USB 2.0 Desktop External Hard Drive,B002QEBMAK,software,0.232,0.32,135,1
WD Elements 500 GB USB 2.0 Desktop External Hard Drive,B002QEBMAK,mac,0.01,0,107,0
WD Elements 500 GB USB 2.0 Desktop External Hard Drive,B002QEBMAK,unit,0.131,0.47,104,0
WD Elements 500 GB USB 2.0 Desktop External Hard Drive,B002QEBMAK,windows,0,nan,104,0
WD Elements 500 GB USB 2.0 Desktop External Hard Drive,B002QEBMAK,light,0.203,0.34,97,1
WD Elements 500 GB USB 2.0 Desktop External Hard Drive,B002QEBMAK,speed,0.239,0.31,94,1
WD Elements 500 GB USB 2.0 Desktop External Hard Drive,B002QEBMAK,western,0,nan,91,0
WD Elements 500 GB USB 2.0 Desktop External Hard Drive,B002QEBMAK,hd,0.238,0.29,90,0
Apple TV MD199LL/A [NEWEST VERSION],B007I5JT4S,apple,0.061,0.5,842,0
Apple TV MD199LL/A [NEWEST VERSION],B007I5JT4S,tv,0.048,0.7,701,0
Apple TV MD199LL/A [NEWEST VERSION],B007I5JT4S,netflix,0.002,1,411,1
Apple TV MD199LL/A [NEWEST VERSION],B007I5JT4S,ipad,0.007,0.8,337,0
Apple TV MD199LL/A [NEWEST VERSION],B007I5JT4S,itunes,0.038,0.2,322,1
Apple TV MD199LL/A [NEWEST VERSION],B007I5JT4S,movie,0.108,0.41,314,1
Apple TV MD199LL/A [NEWEST VERSION],B007I5JT4S,video,0.09,0.36,287,1
Apple TV MD199LL/A [NEWEST VERSION],B007I5JT4S,iphone,0.005,0.33,271,0
Apple TV MD199LL/A [NEWEST VERSION],B007I5JT4S,airplay,0.03,0.2,246,1
Apple TV MD199LL/A [NEWEST VERSION],B007I5JT4S,music,0.052,0.32,218,1
Apple TV MD199LL/A [NEWEST VERSION],B007I5JT4S,roku,0.019,0.4,216,0
Apple TV MD199LL/A [NEWEST VERSION],B007I5JT4S,screen,0.24,0.46,194,0
Apple TV MD199LL/A [NEWEST VERSION],B007I5JT4S,content,0.234,0.61,178,1
Apple TV MD199LL/A [NEWEST VERSION],B007I5JT4S,cable,0.127,0.25,175,1
Apple TV MD199LL/A [NEWEST VERSION],B007I5JT4S,apps,0.272,0.69,174,1
Apple TV MD199LL/A [NEWEST VERSION],B007I5JT4S,app,0.124,0.7,156,1
Apple TV MD199LL/A [NEWEST VERSION],B007I5JT4S,computer,0.061,0.44,152,0
Apple TV MD199LL/A [NEWEST VERSION],B007I5JT4S,home,0.034,0,149,0
Apple TV MD199LL/A [NEWEST VERSION],B007I5JT4S,feature,0.224,0.78,145,0
Apple TV MD199LL/A [NEWEST VERSION],B007I5JT4S,box,0.243,0.72,137,0
"TP-LINK TL-WN722N Wireless N150 High Gain USB Adapter, 150Mbps, 4dBi External Antenna, WPS Button, Support Windows XP/Vista/7/8",B002SZEOLG,adapter,0.142,0.5,498,1
"TP-LINK TL-WN722N Wireless N150 High Gain USB Adapter, 150Mbps, 4dBi External Antenna, WPS Button, Support Windows XP/Vista/7/8",B002SZEOLG,usb,0.07,0.47,374,0
"TP-LINK TL-WN722N Wireless N150 High Gain USB Adapter, 150Mbps, 4dBi External Antenna, WPS Button, Support Windows XP/Vista/7/8",B002SZEOLG,wireless,0.106,0.33,328,1
"TP-LINK TL-WN722N Wireless N150 High Gain USB Adapter, 150Mbps, 4dBi External Antenna, WPS Button, Support Windows XP/Vista/7/8",B002SZEOLG,router,0.076,0.42,328,0
"TP-LINK TL-WN722N Wireless N150 High Gain USB Adapter, 150Mbps, 4dBi External Antenna, WPS Button, Support Windows XP/Vista/7/8",B002SZEOLG,signal,0.288,0.7,326,1
"TP-LINK TL-WN722N Wireless N150 High Gain USB Adapter, 150Mbps, 4dBi External Antenna, WPS Button, Support Windows XP/Vista/7/8",B002SZEOLG,driver,0.131,0.51,284,1
"TP-LINK TL-WN722N Wireless N150 High Gain USB Adapter, 150Mbps, 4dBi External Antenna, WPS Button, Support Windows XP/Vista/7/8",B002SZEOLG,link,0.013,0.36,279,0
"TP-LINK TL-WN722N Wireless N150 High Gain USB Adapter, 150Mbps, 4dBi External Antenna, WPS Button, Support Windows XP/Vista/7/8",B002SZEOLG,tp,0,nan,265,0
"TP-LINK TL-WN722N Wireless N150 High Gain USB Adapter, 150Mbps, 4dBi External Antenna, WPS Button, Support Windows XP/Vista/7/8",B002SZEOLG,computer,0.117,0.56,255,0
"TP-LINK TL-WN722N Wireless N150 High Gain USB Adapter, 150Mbps, 4dBi External Antenna, WPS Button, Support Windows XP/Vista/7/8",B002SZEOLG,laptop,0.126,0.86,244,0
"TP-LINK TL-WN722N Wireless N150 High Gain USB Adapter, 150Mbps, 4dBi External Antenna, WPS Button, Support Windows XP/Vista/7/8",B002SZEOLG,speed,0.231,0.49,243,1
"TP-LINK TL-WN722N Wireless N150 High Gain USB Adapter, 150Mbps, 4dBi External Antenna, WPS Button, Support Windows XP/Vista/7/8",B002SZEOLG,windows,0.014,0,236,0
