Label,Rating,Product,Aspect,TextBlob,VADER,Afinn,Review
-1,1,"Mediabridge ULTRA Series HDMI Cable (6 Foot) - High-Speed Supports Ethernet, 3D and Audio Return [Newest Standard]",cable,-0.203,-0.496,-5,Not sure if it was the new tv I got or if just got a bad cable but had to return it because it was DOA. I've since switched from Mediabridge to Amazon Basic Cables and haven't had any trouble with those.
-1,1,SanDisk 4GB Extreme SDHC Class 10 Memory Card,sd,-0.2,-0.4215,3,"This is a rip-off these are not Sandisk SD Cards they are fakes , I received  two cards today both won't eject and won't work properly. "
-1,1,WD Elements 500 GB USB 2.0 Desktop External Hard Drive,data,-0.192,-0.8641,-3,"but if I had actually had any important data on it, it would have been devastating.  It was accidentally knocked over, fell half a foot to the ground, and ALL 2 TERABYTES OF DATA WERE LOST.  Just like that.  "
0,1,SanDisk Cruzer Fit 4GB USB 2.0 Low-Profile Flash Drive- SDCZ33-004G-B35,usb port,-0.175,0,0,"The USB port in my 2012 Ford Focus is located inside the center console box, so I wanted a really small USB flash drive for MP3 files that wouldn't get hit. "
-1,1,"Mohu Leaf 30 TV Antenna, Indoor, 30 Mile Range, Original Paper-thin, Reversible, Paintable, 4K-Ready HDTV, 10 Foot Detachable Cable, Premium Materials for Performance, USA Made, MH-110598",channel,-0.161,-0.566,2,"No matter how I positioned the antenna, it picked up nothing but the strongest local signals (about 10 out of over 100).After about 20 minutes of messing with it, I finally gave up and went back to my $5 mobile antenna, a tiny black unit about 5 inches tall with a magnetic base, and picked up over 80 channels. "
-1,1,"Panasonic ErgoFit Best in Class In-Ear Earbud Headphones RP-HJE120-D (Orange) Dynamic Crystal Clear Sound, Ergonomic Comfort-Fit, iPhone, Android Compatible, Noise Isolating Headphones",bass,-0.15,0,0,Zero bass.  
-1,1,Canon EF 50mm f/1.8 II Camera Lens - Fixed (Discontinued by Manufacturer),subject,-0.142,0.1027,0,"Also, 50mm on a cropped sensor is really an 85mm lens, putting you uncomfortably close to friends and other subjects."
0,1,"Mohu Leaf 30 TV Antenna, Indoor, 30 Mile Range, Original Paper-thin, Reversible, Paintable, 4K-Ready HDTV, 10 Foot Detachable Cable, Premium Materials for Performance, USA Made, MH-110598",side,-0.135,0.2263,0,"9x12"" flexible plastic sheet, which is black on one side and white on the other, and also has small holes in each corner to facilitate mounting. "
-1,1,Seagate 320GB HDD SATA 6Gb/s 64MB Cache 3.5-Inch Internal Bare Drive (ST320DM000),drive,-0.128,-0.1027,-1,"Seagate Desktop HDD 4 TB SATA 6Gb/s NCQ 64MB Cache 3.5-Inch Internal Bare Drive ST4000DM000.Installed the drive in a windows 7 PC, and when trying to format got an error.Connected to a laptop and the drive never came up under ""Hard Drives""  in attempt to format.Fortunately, the drive was under warranty so back it went.The drive came in thin piece of plastic shaped to the drive which was wrapped with bubble wrap.Look elsewhere for 4 TB drive."
-1,1,Seagate 320GB HDD SATA 6Gb/s 64MB Cache 3.5-Inch Internal Bare Drive (ST320DM000),data,-0.125,-0.1419,2,"If you need to keep your data around, I can't recommend these drives.The other two are still working, but I can't depend on them to backup my data."
-1,1,Crucial m4 64GB 2.5-Inch (9.5mm) SATA 6Gb/s Solid State Drive CT064M4SSD2,speed,-0.122,-0.296,-2,It worked great for about a day and a half and then just died - coincidentally after I hooked it up to my Retina MBPro where I saw some insane copy speeds (about 450MB/sec). 
-1,1,"Cyber Acoustics 30 Watt Powered Speakers with Subwoofer for PC and Gaming Systems in Standard Packaging, (CA-3602a)",speaker,-0.112,-0.1531,-1,"I first bought these used, and realized, that one speaker would make annoying vibrations at certain frequencies. "
-1,1,Roku 2 XS 1080p Streaming Player (Old Model),tv,-0.105,-0.8299,0,"The same goes for our Apple TV device, which is the principal reason we purchased it: we were not happy with the performance of the Apple device. This device does not do so and the fault is with the engineering of the Roku Player, NOT with my WiFi, since other devices, including the Blue Ray Player and the TV, have no such problems connecting and performing well with our WiFi. "
0,1,Roku 3 Streaming Media Player (2014 model),medium,-0.1,0,0,"I stream movies, pictures,  music in nearly any file format from my NAS devices to 3 media centers in the house.  I have had 3 media streaming devices for at least 3 years now.  "
-1,1,Wireless Router w/ WiFi Range Extender Mode (300 Mbps) by Medialink - Easy YouTube Setup Video (Part# MWNWAPR300N ),connection,-0.1,-0.5994,-3,Lights and connection die every few hours and come back soon. 
0,1,PORTTA PET0301S 3x1 Port HDMI Switch/Switcher 1080P Supports 3D with IR Wireless Remote Ultra High...,receiver,-0.1,0,0,"The switch, hokey remote and IR receiver sit in a box gathering dust. "
-1,1,"ARRIS SURFboard SB6121 DOCSIS 3.0 Cable Modem  (Black,Retail Packaging)",hour,-0.1,-0.128,0,"After two returns and hours wasted on the phone with Comcast support, I gave up and bought a different model."
-1,1,Seagate 320GB HDD SATA 6Gb/s 64MB Cache 3.5-Inch Internal Bare Drive (ST320DM000),box,-0.098,-0.7579,-4,this hard drive failed on me after a week - it had tons of patient data on it and i could not wipe it because i could not access it - not even through linux nor with a converter to usb nor with a hot swap with an e-sata hot swap box - so i had to toss it - what a waste of money
-1,1,Seagate 320GB HDD SATA 6Gb/s 64MB Cache 3.5-Inch Internal Bare Drive (ST320DM000),drive,-0.098,-0.7579,-4,this hard drive failed on me after a week - it had tons of patient data on it and i could not wipe it because i could not access it - not even through linux nor with a converter to usb nor with a hot swap with an e-sata hot swap box - so i had to toss it - what a waste of money
-1,1,SanDisk Sansa Clip+ 4 GB MP3 Player (Red) (Discontinued by Manufacturer),folder,-0.094,0.5554,-2,"I have found that the player sometimes doesn't know what to do with MP3 files I load on it, until I play with putting them in various folders. It was a little non-intuitive that my Clark Howard podcasts would have to go under the ""Music"" folder, but once I figured it out, it hasn't been a problem. "
-1,1,SanDisk Ultra 64GB MicroSDXC Class 10 UHS Memory Card Speed Up To 30MB/s With Adapter - SDSDQUA-064G-U46A [Old Version],samsung galaxy,-0.091,-0.4215,-1,"I bought this and after a month of use on my Samsung Galaxy s2 it failed and could no longer be seen, and when i contacted support they said that i had to send it to them to get replaced which is more expensive than buying a new one"
-1,1,Roku 2 XS 1080p Streaming Player (Old Model),remote,-0.085,0.3818,-1,"Imagine you open some Amazon instant video and the volume is too loud, the only solution is to grab the other remote.  Notice this is not a cheap remote, which embeds some kind of motion sensor.  Sometimes when playing Amazon video the box would not response to the remote, which means you cannot pause or skip when you want to.  When I was trying to input something in the search box, I would guess a remote with qwert keyboard or some convenient way to input characters will make the majority miserable.  "
-1,1,"Mohu Leaf 30 TV Antenna, Indoor, 30 Mile Range, Original Paper-thin, Reversible, Paintable, 4K-Ready HDTV, 10 Foot Detachable Cable, Premium Materials for Performance, USA Made, MH-110598",rabbit ear,-0.083,0,0,I don't know if it was the antenna being refurbished but it picked up significantly less channels than a $10 rabbit ear antenna. Stick with a regular rabbit ears antenna
-1,1,Crucial m4 64GB 2.5-Inch (9.5mm) SATA 6Gb/s Solid State Drive CT064M4SSD2,pc,-0.073,-0.6486,-3,"Then, after simply powering off the PC and turning it back on a half hour later, the drive was dead. "
-1,1,Tiffen 46mm UV Protection Filter,light source,-0.067,-0.8126,-5,"If there is any source of light within the frame, nasty reflections of that light hitting the filter will ruin your photos. "
-1,1,Kingston 4 GB microSDHC Class 4 Flash Memory Card SDC4/4GBET,card,-0.067,0,0,"I finally brought my phone with the card in it into Verizon.  They tried it in a few different phones, and told me that the card didn't work correctly."
-1,1,Amazon Kindle 9W PowerFast Adapter for Accelerated Charging,charger,-0.064,0.5487,-1,Every other tablet in existence includes a charger with it but Amazon thinks they have the right to charge extra for a charger for a tablet that is so much less than the others its unbelievable! 
-1,1,Google Chromecast HDMI Streaming Media Player,tv,-0.057,0.6836,0,want to watch youtube or netflix on your tv?  if i had read that this basically tries to turn your regular tv into a smart tv with just a few of the functions i would not have wasted my time and money.  
-1,1,WD My Passport 2TB Portable External USB 3.0 Hard Drive Storage Black (WDBY8L0020BBK-NESN),cable,-0.053,0,0,Apparently powering down the computer or removing the USB cable without ejecting the drive can scramble passwords. 
-1,1,"JLab Audio JBuds Hi-Fi Noise-Reducing Ear Buds, GUARANTEED FOR LIFE - White",ear bud,-0.05,-0.7983,-4,They sound HORRIBLE. I have several pairs of cheap Walmart / RadioShack ear buds that kick these around the block. 
-1,1,AmazonBasics Apple Certified Lightning to USB Cable - 3 Feet (0.9 Meters) - Black,connector,-0.05,-0.3555,-3,"Don't get me wrong the size of the wire is nice, but it suffers from the same flaw that the 30pin connector had when it first came out. Which causes after 1 - 2 months for the cable to separate from the connector. "
-1,1,Crucial m4 64GB 2.5-Inch (9.5mm) SATA 6Gb/s Solid State Drive CT064M4SSD2,system,-0.05,-0.4019,-2,"Tried in several systems, all with the same resultreading the reviews of this model and several others suggest it's a fairly common problem for SSDs in general."
-1,1,Apple TV MD199LL/A [NEWEST VERSION],apps,-0.042,0.5994,2,"With this device you have access to Itunes (whoopee), Netflix, Hulu Plus and of course Apple Air play so you can stream your home movies to you Apple TV 3.But you do not have the 100 different apps like Plex or Playon you can get with other devices such as Roku.  "
-1,1,LG Tone HBS-730 Wireless Stereo Headset - Black,wire,-0.038,-0.3182,-3,I purchased this after my 700 series left ear bud wire came loose. 
-1,1,"Panasonic ErgoFit Best in Class In-Ear Earbud Headphones RP-HJE120-D (Orange) Dynamic Crystal Clear Sound, Ergonomic Comfort-Fit, iPhone, Android Compatible, Noise Isolating Headphones",sound,-0.03,0.0772,-1,"The only way to describe the abysmal sound these things put out is &#34;TINNY&#34;.  Awkward blurred bass, and straight up tinny."
0,1,WD Elements 500 GB USB 2.0 Desktop External Hard Drive,digital,-0.027,-0.128,-2,My Western Digital Elements 2 TB USB 2.0 external hard drive has worked well for nearly 2 years.  In either case I am no longer a Western Digital customer.
-1,1,AmazonBasics Apple Certified Lightning to USB Cable - 3 Feet (0.9 Meters) - Black,cable,-0.017,-0.2732,-8,"The cable charged my iphone 5 with no problem, but the cable on lasted a week or two before it became frayed where the cable connects to the end piece.  The bare wires came out of the cable.  Might be better to buy the OEM cable, as I was afraid it could have been a fire hazard.  I posted a photo to the product description for anyone wanting to see the frayed cable."
-1,1,"Mediabridge ULTRA Series HDMI Cable (6 Foot) - High-Speed Supports Ethernet, 3D and Audio Return [Newest Standard]",screen,-0.013,-0.3847,-3,"This cable creates a lot of distortion and noise on the screen, specifically if it is passing close to a power cord, apparently it's not well shielded, I thought initially that my DB player is defective, So i "
-1,1,WD Elements 500 GB USB 2.0 Desktop External Hard Drive,light,-0.003,-0.4019,-5,Google 'wd external hard drive blinking white light' and similar phrases and you'll see hundreds of other people having problems with this drive failing.  
0,1,Transcend 8GB Class 10 SDHC Card (TS8GSDHC10),hd,0,-0.0516,0,Before using it in the camera I ran the same speed test utilities on it that are shown in the product images (ATTO Disk Benchmark and Crystal Disk Mark)The SD card didn't meet class 6 specs (Minimum recommended for HD video) let alone the class 10 rating listed on the it. 
-1,1,Cheetah Mounts APTMM2B TV Wall Mount for 20-75-Inch TVs Bundle with 10-feet Braided HDMI Cable and a 6-Inch 3-Axis Magnetic Bubble,part,0,0.6166,2,"This should have taken 10 minutes to assemble TOPS. It has to do with part ""P"" - assembly of the basic frame. "
-1,1,SanDisk Sansa Clip+ 4 GB MP3 Player (Red) (Discontinued by Manufacturer),screen,0,0,0,"Screen is blank."" on every suggestion in the three emailings..7. "
0,1,SanDisk Sansa Clip+ 4 GB MP3 Player (Red) (Discontinued by Manufacturer),feature,0,0.5574,0,I've found that this feature is key to my enjoyment of using the unit with Audible. 
-1,1,"Mohu Leaf 30 TV Antenna, Indoor, 30 Mile Range, Original Paper-thin, Reversible, Paintable, 4K-Ready HDTV, 10 Foot Detachable Cable, Premium Materials for Performance, USA Made, MH-110598",tv,0,0,0,With this antenna (installed properly) my TV is finding:0 digital channels11 analogue channelsWith regular cable:98 digital channels56 analogue channelsSomething is telling me I got ripped off.
-1,1,Roku 2 XS 1080p Streaming Player (Old Model),video,0,0,-2,"checkAmazon Prime - checkStream videos from my network - ...Ok, I have to register with yet another company to view my videos...ugh."
0,1,"ARRIS SURFboard SB6121 DOCSIS 3.0 Cable Modem  (Black,Retail Packaging)",box,0,0,0,I took it out of the box when the comcast guy came. 
-1,1,Google Chromecast HDMI Streaming Media Player,medium,0,0,0,Google Chromecast can not cast your local media files. 
0,1,Tiffen 46mm UV Protection Filter,protector,0,0.2023,2,"When I ordered my canon powershot S5IS  (from Amazon), you recommended this filter, both as filter and as a lense protector. "
-1,1,Roku 2 XS 1080p Streaming Player (Old Model),credit card,0,-0.128,-5,"SCARY..and yet another, they demanded a credit card even is you did not buy anything...no card info entered, no roku...these are hardball players...and that "
0,1,Seagate 320GB HDD SATA 6Gb/s 64MB Cache 3.5-Inch Internal Bare Drive (ST320DM000),digital,0,-0.296,-1,No wonder enterprise storage is leaning away from Seagate and towards Hitachi (Western Digital).
0,1,"Panasonic ErgoFit Best in Class In-Ear Earbud Headphones RP-HJE120-D (Orange) Dynamic Crystal Clear Sound, Ergonomic Comfort-Fit, iPhone, Android Compatible, Noise Isolating Headphones",set,0,-0.3182,-3,I got these for my daughter as a replacement set for the pair she lost.  
0,1,Roku 2 XS 1080p Streaming Player (Old Model),tv,0,0.1779,0,"I only bought the thing because I wanted to stream Amazon through my TV, and in truth..."
0,1,"TP-LINK TL-WN722N Wireless N150 High Gain USB Adapter, 150Mbps, 4dBi External Antenna, WPS Button, Support Windows XP/Vista/7/8",install driver,0,0,0,cannot install drivers for win7. 
0,1,Tiffen 46mm UV Protection Filter,hoya,0,-0.296,-1,"I replaced with premium, coated Hoya filters and have no issues.  "
0,1,"ARRIS SURFboard SB6121 DOCSIS 3.0 Cable Modem  (Black,Retail Packaging)",modem,0,0,0,Charter said the modem was dropping the connection so they 
0,1,Crucial m4 64GB 2.5-Inch (9.5mm) SATA 6Gb/s Solid State Drive CT064M4SSD2,m4,0,0,0,We have Crucial M4 256GB drives and the 512GBSSD2 drives. 
-1,1,DVI Gear HDMI-2M 2M/6' HDMI Cable,cable,0,-0.3849,7,"I had a one time need for a HDMI cable. Since this was for a temporary use I did not want to spend what it would cost for a quality cable. So, even though this is a very low quality cable, for which I give it one star, if you don't need quality it may fill the bill."
0,1,"TP-LINK TL-WN722N Wireless N150 High Gain USB Adapter, 150Mbps, 4dBi External Antenna, WPS Button, Support Windows XP/Vista/7/8",wireless,0,0,0,My wireless router is in the basement. 
-1,1,SanDisk Sansa Clip+ 4 GB MP3 Player (Red) (Discontinued by Manufacturer),battery,0,0,0,Now after having it for 6 months or so the battery barley lasts an hour. 
-1,1,"Mohu Leaf 30 TV Antenna, Indoor, 30 Mile Range, Original Paper-thin, Reversible, Paintable, 4K-Ready HDTV, 10 Foot Detachable Cable, Premium Materials for Performance, USA Made, MH-110598",paper,0,0,0,"I paid $40 for an pizza box, an coax cable and 2 sheets of paper! "
-1,1,Amazon Kindle 9W PowerFast Adapter for Accelerated Charging,adapter,0,0.5719,2,"However, if you already have an A/C micro USB charger, or another adapter, I suggest you pass on this. I have an Amazon A/C USB adapter that I bought for with my Kindle E-Reader (1st generation). When I saw this for half price, I bought it thinking that it would be an improvement over my older adapter."
-1,1,"TP-LINK TL-WN722N Wireless N150 High Gain USB Adapter, 150Mbps, 4dBi External Antenna, WPS Button, Support Windows XP/Vista/7/8",tp link,0,0.3254,2,I toss it somewhereI got the TP-LINK TL-WDN4800 and pair with TP-LINK Archer C7..  SOLID 5 bars signals
0,1,[DISCONTINUED] Samsung 840 EVO 120GB 2.5-Inch SATA III Internal SSD (MZ-7TE120BW),version,0,0,0,I have a Windows 8 pro (upgrade version from Windows 7) desktop HP amd six core. state if this version is for a desktop or laptop.
-1,1,Crucial m4 64GB 2.5-Inch (9.5mm) SATA 6Gb/s Solid State Drive CT064M4SSD2,ssd,0,-0.4019,-2,After I switched over to Samsung SSD all of my problems went away.  
0,1,Google Chromecast HDMI Streaming Media Player,screen,0,0,0,I connected this device to my TV and followed the on screen instructions.
0,1,Kingston Datatraveler 101 Gen 2 With urDrive 8GB USB 2.0 (Red),flash drive,0,-0.3182,-1,"I've bought dozens of these Kingston flash drives over the years. and when I have a row of flash drives in my USB hub, the flashing was the only way I could tell which was the one I was saving data to...If you use your flash drives for semi-permanent storage, I suppose the lack of a data transfer indicator may not be a deal breaker. For the rest of us, though, these things are no-longer top-of-the-line flash drives. "
0,1,Google Chromecast HDMI Streaming Media Player,router,0,0,0,"I restarted the device several times, reserved an IP address in my router.  "
-1,1,SanDisk 16GB Mobile MicroSDHC Class 4 Flash Memory Card- SDSDQM-016G-B35N,card,0,-0.296,-1,"people are having the same issue, the tablet can no longer read the card, and people are recommending finding another name brand or a smaller sized sd card."
-1,1,Wireless Router w/ WiFi Range Extender Mode (300 Mbps) by Medialink - Easy YouTube Setup Video (Part# MWNWAPR300N ),router,0,0.3071,1,"I bought this router in hope to improve the  wireless in my 3 storie townhouse. Rather the opposite, I lost connectivity everywhere but the floor the router is on."
-1,1,Seagate 320GB HDD SATA 6Gb/s 64MB Cache 3.5-Inch Internal Bare Drive (ST320DM000),seagate barracuda,0,-0.2023,-1,"No kidding, I payed for a 3TB Seagate Barracuda HDD and was sent a 2TB. "
-1,1,SanDisk Sansa Clip+ 4 GB MP3 Player (Red) (Discontinued by Manufacturer),week,0,-0.0772,-1,"After two weeks of usage, the copper wires became exposed. After a week, it repeated this on-again off-again behavior..6. "
0,1,Kingston Datatraveler 101 Gen 2 With urDrive 8GB USB 2.0 (Red),file,0,0,0,I was copying the same file (about 900MB/file) for the test.  
-1,1,"TP-LINK TL-WN722N Wireless N150 High Gain USB Adapter, 150Mbps, 4dBi External Antenna, WPS Button, Support Windows XP/Vista/7/8",desktop,0,0.1613,-2,"The problem has been encountered on Windows XP and Windows 7 desktops, from multiple vendors, so it's not a specific issue either."
-1,1,WD My Passport 2TB Portable External USB 3.0 Hard Drive Storage Black (WDBY8L0020BBK-NESN),wd,0,0.824,3,I wrote to WD support and they were no help whatsoever.  
-1,1,Google Chromecast HDMI Streaming Media Player,streaming,0,0,3,"It won't cast my streaming off of the internet, which is why I bought it.  "
0,1,"Logitech M570 Wireless Trackball, Computer Wireless Mouse, Long Range Wireless Mouse",model,0,0,0,Starting with the wired versions then the wireless models.
-1,1,SanDisk Ultra 64GB MicroSDXC Class 10 UHS Memory Card Speed Up To 30MB/s With Adapter - SDSDQUA-064G-U46A [Old Version],data,0,0,0,tried to get the data from the card after using it for a second and the card says it needs to be formatted.
-1,1,SanDisk Ultra 64GB MicroSDXC Class 10 UHS Memory Card Speed Up To 30MB/s With Adapter - SDSDQUA-064G-U46A [Old Version],file,0,-0.5574,-3,"It just died while I had the tablet attached to my PC and was copying another file onto it, so I've changed my rating from 5 stars to just 1 star.  "
-1,1,Kingston Digital DataTraveler SE9 8GB USB 2.0 DTSE9H/8GBZ,drive,0,0.5037,-2,"I bought the Kingston 64GB USB 2.0 Flash Drive (DTSE9H/64GB)I just received it, plugged it to my computer, installed alright, then I decided to copy 36 GB to it for backups. I never had ANY problems with several USB flash drives before."
-1,1,"Panasonic ErgoFit Best in Class In-Ear Earbud Headphones RP-HJE120-D (Orange) Dynamic Crystal Clear Sound, Ergonomic Comfort-Fit, iPhone, Android Compatible, Noise Isolating Headphones",sound,0,-0.8493,-1,"Unfortunately the sound is very tinny and thin, they sound like they're playing through a tin can. I'll probably put up with them for a bit until I replace my Yurbuds but the sound is just so bad with these I'm not sure how long I'll be able to deal with them."
-1,1,DVI Gear HDMI-2M 2M/6' HDMI Cable,quality,0,-0.5942,9,"Since this was for a temporary use I did not want to spend what it would cost for a quality cable. The price is low and the quality is low but sometimes that is all it takes to get a job done. So, even though this is a very low quality cable, for which I give it one star, if you don't need quality it may fill the bill."
-1,1,SanDisk Ultra 64GB MicroSDXC Class 10 UHS Memory Card Speed Up To 30MB/s With Adapter - SDSDQUA-064G-U46A [Old Version],data,0,0.3089,0,"Can't afford to lose data, not that I can write to these anyway. "
-1,1,"Mediabridge ULTRA Series HDMI Cable (6 Foot) - High-Speed Supports Ethernet, 3D and Audio Return [Newest Standard]",cable,0,-0.4019,-2,"I have been using ""this"" cable for 6 months now The problem is, I received a different cable from the one that is displayed on the picture. "
-1,1,SanDisk Ultra 64GB MicroSDXC Class 10 UHS Memory Card Speed Up To 30MB/s With Adapter - SDSDQUA-064G-U46A [Old Version],quality,0,0,2,"I paid the premium for ""Sandisk Quality.""  I "
0,1,Google Chromecast HDMI Streaming Media Player,network,0.007,0.1779,0,"ELI5: For those curious about how the heck a laptop can connect to one Wi-Fi router and yet simultaneous become a Wi-Fi router itself, the technology works by having the network driver switch between being a Wi-Fi client and server so fast that the end user can't functionally tell the difference. Though there's no limit to the number of networks you can join simultaneously, the total Wi-Fi bandwidth is still limited so your internet doesn't get faster. "
-1,1,DVI Gear HDMI-2M 2M/6' HDMI Cable,cable,0.012,-0.6249,-7,"This cable that I received if it gets bumped in any way looses picture and I get a ""no signal"" message, tonight it didn't even take getting bumped for it to loose the signal completely twice and for us to have to get up pull out the TV and wiggle the cord for it to ""work"" again.. "
-1,1,SanDisk Sansa Clip+ 4 GB MP3 Player (Red) (Discontinued by Manufacturer),button,0.012,-0.5341,-5,"Than I pushed really hard and the sound button imploded. Convenient Lock mechanism, which I never use, just push the home button for 5 seconds. Everything is push button. Big pain in the neck.7.Sound controls are on the side, again push button and stiff enough not to trigger by accident. Actually the Forward and reverse start slowly, than speed up the more time the button is held. I have to hold it in front of me to use all the buttons except the on off and volume button.8. No fumbling through the other buttons to find pause.5. The screen is small enough to see easily but doesn't take up space so the buttons are larger.2. Simple Navigation buttons-On off button which I use as Pause too. "
0,1,DVI Gear HDMI-2M 2M/6' HDMI Cable,difference,0.025,0,0,You can tell because there are a few differences evident in all the photos.
-1,1,LG Tone HBS-730 Wireless Stereo Headset - Black,pocket,0.033,0.4317,4,"It may have had a better battery life and a slightly improved microphone (only slightly) but this newer version will not stay connected when my phone is in my back pocket, in my backpack's side pocket or even 8' away from it. "
0,1,Cheetah Mounts APTMM2B TV Wall Mount for 20-75-Inch TVs Bundle with 10-feet Braided HDMI Cable and a 6-Inch 3-Axis Magnetic Bubble,part,0.035,0.4939,3,"Couldn't get the other safety to screw in, so my TV only has 1.Overall I'm happy with some parts of the product, but pretty disappointed with some of the installation issues I had"
-1,1,[DISCONTINUED] Samsung 840 EVO 120GB 2.5-Inch SATA III Internal SSD (MZ-7TE120BW),disk,0.036,0.3387,-1,Important files GONE.I've almost never had a problem with my standard hard disk drives.  
-1,1,WD Elements 500 GB USB 2.0 Desktop External Hard Drive,light,0.036,-0.1027,-1,"Although a light appears on the back side of the drive, the hard drive does not spin and my MAC Mini does not recognize the disk in the ""Disk Utility.""  "
-1,1,"Panasonic ErgoFit Best in Class In-Ear Earbud Headphones RP-HJE120-D (Orange) Dynamic Crystal Clear Sound, Ergonomic Comfort-Fit, iPhone, Android Compatible, Noise Isolating Headphones",set,0.037,0.0772,1,Put these up to the old and new iPhone ear-buds and one other Samsung set and it made them all look like $100 Bose' against these... avoid at all cost and up it to the $20 range ... 
0,1,Kingston Digital DataTraveler SE9 8GB USB 2.0 DTSE9H/8GBZ,usb,0.042,0.7351,2,"This means when a program asks for a USB drive with&#34;at least 8 GB free space&#34;, you can't just buy an 8 GB drive because it will, in fact, be less than 8 GB in free space due to how manufacturers screw consumers."
