Product,ASIN,Aspect,Avg_Dist,PMI,n_reviews,is_aspect,part_of_trigram
"Cyber Acoustics 30 Watt Powered Speakers with Subwoofer for PC and Gaming Systems in Standard Packaging, (CA-3602a)",B0027VT6V4,set speaker,2.01,0.00014,129,0,
"Cyber Acoustics 30 Watt Powered Speakers with Subwoofer for PC and Gaming Systems in Standard Packaging, (CA-3602a)",B0027VT6V4,speaker system,1.11,9.00E-05,114,1,
"Cyber Acoustics 30 Watt Powered Speakers with Subwoofer for PC and Gaming Systems in Standard Packaging, (CA-3602a)",B0027VT6V4,speaker sound,2.17,3.00E-05,109,0,
"Cyber Acoustics 30 Watt Powered Speakers with Subwoofer for PC and Gaming Systems in Standard Packaging, (CA-3602a)",B0027VT6V4,computer speaker,1.34,0.00014,106,1,
"Cyber Acoustics 30 Watt Powered Speakers with Subwoofer for PC and Gaming Systems in Standard Packaging, (CA-3602a)",B0027VT6V4,sound system,1.15,8.00E-05,85,1,
"Cyber Acoustics 30 Watt Powered Speakers with Subwoofer for PC and Gaming Systems in Standard Packaging, (CA-3602a)",B0027VT6V4,volume bass,1.98,0.00013,79,0,
"Cyber Acoustics 30 Watt Powered Speakers with Subwoofer for PC and Gaming Systems in Standard Packaging, (CA-3602a)",B0027VT6V4,listen music,2.18,0.00136,73,0,
"Cyber Acoustics 30 Watt Powered Speakers with Subwoofer for PC and Gaming Systems in Standard Packaging, (CA-3602a)",B0027VT6V4,bass control,1.41,0.00017,73,1,
"Cyber Acoustics 30 Watt Powered Speakers with Subwoofer for PC and Gaming Systems in Standard Packaging, (CA-3602a)",B0027VT6V4,headphone jack,1.18,0.00235,70,1,
"Cyber Acoustics 30 Watt Powered Speakers with Subwoofer for PC and Gaming Systems in Standard Packaging, (CA-3602a)",B0027VT6V4,cyber acoustics,1.01,0.00786,62,1,
"Cyber Acoustics 30 Watt Powered Speakers with Subwoofer for PC and Gaming Systems in Standard Packaging, (CA-3602a)",B0027VT6V4,turn volume,2.28,0.00027,50,0,
"Cyber Acoustics 30 Watt Powered Speakers with Subwoofer for PC and Gaming Systems in Standard Packaging, (CA-3602a)",B0027VT6V4,sub woofer,1.52,0.00248,46,1,
"Cyber Acoustics 30 Watt Powered Speakers with Subwoofer for PC and Gaming Systems in Standard Packaging, (CA-3602a)",B0027VT6V4,play music,1.48,0.00104,43,1,
"Cyber Acoustics 30 Watt Powered Speakers with Subwoofer for PC and Gaming Systems in Standard Packaging, (CA-3602a)",B0027VT6V4,control pod,1.14,0.001,43,1,
"Cyber Acoustics 30 Watt Powered Speakers with Subwoofer for PC and Gaming Systems in Standard Packaging, (CA-3602a)",B0027VT6V4,sound bass,2.42,3.00E-05,43,0,
"Cyber Acoustics 30 Watt Powered Speakers with Subwoofer for PC and Gaming Systems in Standard Packaging, (CA-3602a)",B0027VT6V4,clear sound,1.93,0.00016,40,0,
"Cyber Acoustics 30 Watt Powered Speakers with Subwoofer for PC and Gaming Systems in Standard Packaging, (CA-3602a)",B0027VT6V4,high end,1.42,0.00166,40,0,
"Cyber Acoustics 30 Watt Powered Speakers with Subwoofer for PC and Gaming Systems in Standard Packaging, (CA-3602a)",B0027VT6V4,volume knob,1.37,0.00066,40,1,
SanDisk 16GB Mobile MicroSDHC Class 4 Flash Memory Card- SDSDQM-016G-B35N,B004G6002M,memory card,1.02,0.00034,189,,1
SanDisk 16GB Mobile MicroSDHC Class 4 Flash Memory Card- SDSDQM-016G-B35N,B004G6002M,sd card,1.09,0.00051,148,1,
SanDisk 16GB Mobile MicroSDHC Class 4 Flash Memory Card- SDSDQM-016G-B35N,B004G6002M,samsung galaxy,1,0.00333,96,,1
SanDisk 16GB Mobile MicroSDHC Class 4 Flash Memory Card- SDSDQM-016G-B35N,B004G6002M,micro sd,1.07,0.00217,79,1,
SanDisk 16GB Mobile MicroSDHC Class 4 Flash Memory Card- SDSDQM-016G-B35N,B004G6002M,micro card,1.95,0.00045,78,0,
SanDisk 16GB Mobile MicroSDHC Class 4 Flash Memory Card- SDSDQM-016G-B35N,B004G6002M,sandisk card,1.88,0.00017,75,0,
SanDisk 16GB Mobile MicroSDHC Class 4 Flash Memory Card- SDSDQM-016G-B35N,B004G6002M,flash memory,1.03,0.00125,66,,1
SanDisk 16GB Mobile MicroSDHC Class 4 Flash Memory Card- SDSDQM-016G-B35N,B004G6002M,flash card,1.71,0.00049,65,0,
SanDisk 16GB Mobile MicroSDHC Class 4 Flash Memory Card- SDSDQM-016G-B35N,B004G6002M,class card,2.19,0.00025,48,0,
SanDisk 16GB Mobile MicroSDHC Class 4 Flash Memory Card- SDSDQM-016G-B35N,B004G6002M,galaxy tab,1.04,0.00403,48,,1
SanDisk 16GB Mobile MicroSDHC Class 4 Flash Memory Card- SDSDQM-016G-B35N,B004G6002M,32gb card,2.09,0.00028,46,0,
SanDisk 16GB Mobile MicroSDHC Class 4 Flash Memory Card- SDSDQM-016G-B35N,B004G6002M,microsd card,1.26,0.00048,44,1,
SanDisk 16GB Mobile MicroSDHC Class 4 Flash Memory Card- SDSDQM-016G-B35N,B004G6002M,cell phone,1,0.00152,43,1,
SanDisk 16GB Mobile MicroSDHC Class 4 Flash Memory Card- SDSDQM-016G-B35N,B004G6002M,android phone,1.38,0.00065,37,0,
SanDisk 16GB Mobile MicroSDHC Class 4 Flash Memory Card- SDSDQM-016G-B35N,B004G6002M,mp3 player,1,0.00943,37,1,
SanDisk 16GB Mobile MicroSDHC Class 4 Flash Memory Card- SDSDQM-016G-B35N,B004G6002M,music video,2.11,0.00114,35,0,
SanDisk 16GB Mobile MicroSDHC Class 4 Flash Memory Card- SDSDQM-016G-B35N,B004G6002M,galaxy s3,1.03,0.00455,35,0,
SanDisk 16GB Mobile MicroSDHC Class 4 Flash Memory Card- SDSDQM-016G-B35N,B004G6002M,gb card,1.56,0.00021,34,0,
SanDisk 16GB Mobile MicroSDHC Class 4 Flash Memory Card- SDSDQM-016G-B35N,B004G6002M,microsdhc card,1.87,0.00044,33,1,
SanDisk 16GB Mobile MicroSDHC Class 4 Flash Memory Card- SDSDQM-016G-B35N,B004G6002M,samsung tab,1.8,0.00283,32,,1
AmazonBasics Digital Optical Audio Toslink Cable - 6 Feet (1.8 Meters),B001TH7GSW,optical cable,1.43,0.00038,217,1,
AmazonBasics Digital Optical Audio Toslink Cable - 6 Feet (1.8 Meters),B001TH7GSW,audio cable,1.37,0.00022,119,1,
AmazonBasics Digital Optical Audio Toslink Cable - 6 Feet (1.8 Meters),B001TH7GSW,sound bar,1.06,0.00169,80,1,
AmazonBasics Digital Optical Audio Toslink Cable - 6 Feet (1.8 Meters),B001TH7GSW,toslink cable,1.24,0.00039,78,1,
AmazonBasics Digital Optical Audio Toslink Cable - 6 Feet (1.8 Meters),B001TH7GSW,sound quality,1.27,0.00037,78,1,
AmazonBasics Digital Optical Audio Toslink Cable - 6 Feet (1.8 Meters),B001TH7GSW,optical audio,1.04,0.00066,77,,1
AmazonBasics Digital Optical Audio Toslink Cable - 6 Feet (1.8 Meters),B001TH7GSW,digital audio,1.53,0.00121,69,0,
AmazonBasics Digital Optical Audio Toslink Cable - 6 Feet (1.8 Meters),B001TH7GSW,quality cable,1.82,9.00E-05,67,0,
AmazonBasics Digital Optical Audio Toslink Cable - 6 Feet (1.8 Meters),B001TH7GSW,digital cable,2.24,0.00021,65,0,
AmazonBasics Digital Optical Audio Toslink Cable - 6 Feet (1.8 Meters),B001TH7GSW,high quality,1.12,0.00139,64,0,
AmazonBasics Digital Optical Audio Toslink Cable - 6 Feet (1.8 Meters),B001TH7GSW,sound system,1.19,0.00075,58,,1
AmazonBasics Digital Optical Audio Toslink Cable - 6 Feet (1.8 Meters),B001TH7GSW,surround sound,1.12,0.00121,58,,1
AmazonBasics Digital Optical Audio Toslink Cable - 6 Feet (1.8 Meters),B001TH7GSW,home theater,1,0.01073,46,1,
AmazonBasics Digital Optical Audio Toslink Cable - 6 Feet (1.8 Meters),B001TH7GSW,digital optical,1.25,0.00063,42,,1
AmazonBasics Digital Optical Audio Toslink Cable - 6 Feet (1.8 Meters),B001TH7GSW,expensive cable,1.41,0.00027,40,0,
AmazonBasics Digital Optical Audio Toslink Cable - 6 Feet (1.8 Meters),B001TH7GSW,cable connect,2.1,0.00013,40,0,
AmazonBasics Digital Optical Audio Toslink Cable - 6 Feet (1.8 Meters),B001TH7GSW,amazonbasics cable,1.29,0.00022,38,1,
AmazonBasics Digital Optical Audio Toslink Cable - 6 Feet (1.8 Meters),B001TH7GSW,cheap cable,1.59,0.0002,37,0,
AmazonBasics Digital Optical Audio Toslink Cable - 6 Feet (1.8 Meters),B001TH7GSW,connect tv,2.23,0.00083,36,0,
AmazonBasics Digital Optical Audio Toslink Cable - 6 Feet (1.8 Meters),B001TH7GSW,cable come,1.71,0.00016,35,0,
Kingston Digital DataTraveler SE9 8GB USB 2.0 DTSE9H/8GBZ,B006W8U2MU,flash drive,1,0.00069,316,1,
Kingston Digital DataTraveler SE9 8GB USB 2.0 DTSE9H/8GBZ,B006W8U2MU,usb drive,1.56,0.00024,192,0,
Kingston Digital DataTraveler SE9 8GB USB 2.0 DTSE9H/8GBZ,B006W8U2MU,key chain,1.07,0.00168,177,1,
Kingston Digital DataTraveler SE9 8GB USB 2.0 DTSE9H/8GBZ,B006W8U2MU,key ring,1.11,0.00127,133,1,
Kingston Digital DataTraveler SE9 8GB USB 2.0 DTSE9H/8GBZ,B006W8U2MU,usb port,1.13,0.00088,115,1,
Kingston Digital DataTraveler SE9 8GB USB 2.0 DTSE9H/8GBZ,B006W8U2MU,thumb drive,1.04,0.00072,79,1,
Kingston Digital DataTraveler SE9 8GB USB 2.0 DTSE9H/8GBZ,B006W8U2MU,usb flash,1.34,0.00017,60,0,
Kingston Digital DataTraveler SE9 8GB USB 2.0 DTSE9H/8GBZ,B006W8U2MU,drive small,2.36,7.00E-05,53,0,
Kingston Digital DataTraveler SE9 8GB USB 2.0 DTSE9H/8GBZ,B006W8U2MU,transfer file,1.46,0.00104,46,1,
Kingston Digital DataTraveler SE9 8GB USB 2.0 DTSE9H/8GBZ,B006W8U2MU,usb stick,1.14,0.00047,45,1,
Kingston Digital DataTraveler SE9 8GB USB 2.0 DTSE9H/8GBZ,B006W8U2MU,small size,1.38,0.00033,45,1,
Kingston Digital DataTraveler SE9 8GB USB 2.0 DTSE9H/8GBZ,B006W8U2MU,solid metal,1.73,0.00106,38,,1
Kingston Digital DataTraveler SE9 8GB USB 2.0 DTSE9H/8GBZ,B006W8U2MU,transfer speed,1.09,0.0008,35,,1
Kingston Digital DataTraveler SE9 8GB USB 2.0 DTSE9H/8GBZ,B006W8U2MU,metal casing,1.09,0.00199,34,1,
Kingston Digital DataTraveler SE9 8GB USB 2.0 DTSE9H/8GBZ,B006W8U2MU,metal case,1.31,0.00112,32,,1
Kingston Digital DataTraveler SE9 8GB USB 2.0 DTSE9H/8GBZ,B006W8U2MU,cap lose,2.13,0.00152,31,0,
Kingston Digital DataTraveler SE9 8GB USB 2.0 DTSE9H/8GBZ,B006W8U2MU,move part,1.07,0.00678,30,0,
Kingston Digital DataTraveler SE9 8GB USB 2.0 DTSE9H/8GBZ,B006W8U2MU,data transfer,1.12,0.00093,28,,1
Kingston Digital DataTraveler SE9 8GB USB 2.0 DTSE9H/8GBZ,B006W8U2MU,large file,1.16,0.00091,27,1,
Kingston Digital DataTraveler SE9 8GB USB 2.0 DTSE9H/8GBZ,B006W8U2MU,write speed,1.12,0.00144,26,1,
AmazonBasics Apple Certified Lightning to USB Cable - 3 Feet (0.9 Meters) - Black,B009SYZ8OC,apple cable,1.57,9.00E-05,561,0,
AmazonBasics Apple Certified Lightning to USB Cable - 3 Feet (0.9 Meters) - Black,B009SYZ8OC,lightning cable,1.16,0.00012,282,1,
AmazonBasics Apple Certified Lightning to USB Cable - 3 Feet (0.9 Meters) - Black,B009SYZ8OC,apple cord,1.48,0.00011,133,0,
AmazonBasics Apple Certified Lightning to USB Cable - 3 Feet (0.9 Meters) - Black,B009SYZ8OC,original apple,1.17,0.00025,121,0,
AmazonBasics Apple Certified Lightning to USB Cable - 3 Feet (0.9 Meters) - Black,B009SYZ8OC,lightning end,1.3,0.0004,120,0,
AmazonBasics Apple Certified Lightning to USB Cable - 3 Feet (0.9 Meters) - Black,B009SYZ8OC,original cable,1.77,0.00012,114,0,
AmazonBasics Apple Certified Lightning to USB Cable - 3 Feet (0.9 Meters) - Black,B009SYZ8OC,lightning connector,1.12,0.00041,114,1,
AmazonBasics Apple Certified Lightning to USB Cable - 3 Feet (0.9 Meters) - Black,B009SYZ8OC,iphone case,2.19,0.00011,113,0,
AmazonBasics Apple Certified Lightning to USB Cable - 3 Feet (0.9 Meters) - Black,B009SYZ8OC,charge cable,1.6,3.00E-05,108,0,
AmazonBasics Apple Certified Lightning to USB Cable - 3 Feet (0.9 Meters) - Black,B009SYZ8OC,charge phone,1.94,0.00024,106,0,
AmazonBasics Apple Certified Lightning to USB Cable - 3 Feet (0.9 Meters) - Black,B009SYZ8OC,cheap apple,2.58,0.00011,105,0,
AmazonBasics Apple Certified Lightning to USB Cable - 3 Feet (0.9 Meters) - Black,B009SYZ8OC,cheap cable,1.87,6.00E-05,99,0,
AmazonBasics Apple Certified Lightning to USB Cable - 3 Feet (0.9 Meters) - Black,B009SYZ8OC,charge iphone,1.96,0.00011,97,0,
AmazonBasics Apple Certified Lightning to USB Cable - 3 Feet (0.9 Meters) - Black,B009SYZ8OC,apple lightning,1.43,7.00E-05,92,1,
AmazonBasics Apple Certified Lightning to USB Cable - 3 Feet (0.9 Meters) - Black,B009SYZ8OC,iphone cable,2.26,3.00E-05,91,0,
AmazonBasics Apple Certified Lightning to USB Cable - 3 Feet (0.9 Meters) - Black,B009SYZ8OC,iphone 5s,1.07,0.00081,88,1,
AmazonBasics Apple Certified Lightning to USB Cable - 3 Feet (0.9 Meters) - Black,B009SYZ8OC,apple one,1.5,4.00E-05,86,0,
AmazonBasics Apple Certified Lightning to USB Cable - 3 Feet (0.9 Meters) - Black,B009SYZ8OC,fit case,2.72,0.00014,84,0,
AmazonBasics Apple Certified Lightning to USB Cable - 3 Feet (0.9 Meters) - Black,B009SYZ8OC,high quality,1.03,0.00154,84,0,
AmazonBasics Apple Certified Lightning to USB Cable - 3 Feet (0.9 Meters) - Black,B009SYZ8OC,quality cable,1.8,4.00E-05,84,0,
AmazonBasics USB 2.0 Extension Cable - A-Male to A-Female - 9.8 Feet (3 Meters),B001TH7GUU,usb cable,1.61,0.00024,187,1,
AmazonBasics USB 2.0 Extension Cable - A-Male to A-Female - 9.8 Feet (3 Meters),B001TH7GUU,extension cable,1.05,0.00035,175,,1
AmazonBasics USB 2.0 Extension Cable - A-Male to A-Female - 9.8 Feet (3 Meters),B001TH7GUU,usb extension,1.29,0.00051,142,,1
AmazonBasics USB 2.0 Extension Cable - A-Male to A-Female - 9.8 Feet (3 Meters),B001TH7GUU,quality cable,1.68,0.00016,61,0,
AmazonBasics USB 2.0 Extension Cable - A-Male to A-Female - 9.8 Feet (3 Meters),B001TH7GUU,usb port,1.09,0.00092,58,1,
AmazonBasics USB 2.0 Extension Cable - A-Male to A-Female - 9.8 Feet (3 Meters),B001TH7GUU,extension cord,1.06,0.00043,50,,1
AmazonBasics USB 2.0 Extension Cable - A-Male to A-Female - 9.8 Feet (3 Meters),B001TH7GUU,extend usb,2.15,0.00033,48,0,
AmazonBasics USB 2.0 Extension Cable - A-Male to A-Female - 9.8 Feet (3 Meters),B001TH7GUU,high quality,1.06,0.00239,42,0,
AmazonBasics USB 2.0 Extension Cable - A-Male to A-Female - 9.8 Feet (3 Meters),B001TH7GUU,extend cable,2.36,0.00015,39,0,
AmazonBasics USB 2.0 Extension Cable - A-Male to A-Female - 9.8 Feet (3 Meters),B001TH7GUU,short cable,2.17,0.00023,39,0,
AmazonBasics USB 2.0 Extension Cable - A-Male to A-Female - 9.8 Feet (3 Meters),B001TH7GUU,usb hub,1.11,0.00083,33,0,
AmazonBasics USB 2.0 Extension Cable - A-Male to A-Female - 9.8 Feet (3 Meters),B001TH7GUU,usb cord,1.78,0.00015,33,0,
AmazonBasics USB 2.0 Extension Cable - A-Male to A-Female - 9.8 Feet (3 Meters),B001TH7GUU,mouse keyboard,2.09,0.00421,27,0,
AmazonBasics USB 2.0 Extension Cable - A-Male to A-Female - 9.8 Feet (3 Meters),B001TH7GUU,charge cable,1.11,9.00E-05,27,0,
AmazonBasics USB 2.0 Extension Cable - A-Male to A-Female - 9.8 Feet (3 Meters),B001TH7GUU,cable come,1.89,0.00018,27,0,
AmazonBasics USB 2.0 Extension Cable - A-Male to A-Female - 9.8 Feet (3 Meters),B001TH7GUU,foot cable,1.93,0.00017,26,0,
AmazonBasics USB 2.0 Extension Cable - A-Male to A-Female - 9.8 Feet (3 Meters),B001TH7GUU,amazonbasics cable,1.32,0.00021,25,0,
AmazonBasics USB 2.0 Extension Cable - A-Male to A-Female - 9.8 Feet (3 Meters),B001TH7GUU,long cable,1.81,0.00012,24,0,
AmazonBasics USB 2.0 Extension Cable - A-Male to A-Female - 9.8 Feet (3 Meters),B001TH7GUU,amazonbasics usb,1.22,0.00035,23,0,
AmazonBasics USB 2.0 Extension Cable - A-Male to A-Female - 9.8 Feet (3 Meters),B001TH7GUU,charge phone,1.88,0.00096,23,0,
Amazon Kindle 9W PowerFast Adapter for Accelerated Charging,B006GWO5WK,kindle fire,1.04,0.00032,618,1,
Amazon Kindle 9W PowerFast Adapter for Accelerated Charging,B006GWO5WK,charge kindle,2.07,0.00011,481,0,
Amazon Kindle 9W PowerFast Adapter for Accelerated Charging,B006GWO5WK,fire hd,1.07,0.00082,296,1,
Amazon Kindle 9W PowerFast Adapter for Accelerated Charging,B006GWO5WK,kindle hd,1.86,0.00033,289,0,
Amazon Kindle 9W PowerFast Adapter for Accelerated Charging,B006GWO5WK,charge fire,2.7,0.00011,212,0,
Amazon Kindle 9W PowerFast Adapter for Accelerated Charging,B006GWO5WK,charger kindle,2.38,4.00E-05,115,0,
Amazon Kindle 9W PowerFast Adapter for Accelerated Charging,B006GWO5WK,come kindle,2.77,0.00013,105,0,
Amazon Kindle 9W PowerFast Adapter for Accelerated Charging,B006GWO5WK,include kindle,2.92,0.00012,91,0,
Amazon Kindle 9W PowerFast Adapter for Accelerated Charging,B006GWO5WK,charge time,1.46,0.00011,90,0,
Amazon Kindle 9W PowerFast Adapter for Accelerated Charging,B006GWO5WK,usb cable,1.13,0.00093,89,1,
Amazon Kindle 9W PowerFast Adapter for Accelerated Charging,B006GWO5WK,usb port,1.02,0.00152,84,1,
Amazon Kindle 9W PowerFast Adapter for Accelerated Charging,B006GWO5WK,prong fold,1.35,0.00527,71,1,
Amazon Kindle 9W PowerFast Adapter for Accelerated Charging,B006GWO5WK,usb charge,2.06,7.00E-05,67,0,
Amazon Kindle 9W PowerFast Adapter for Accelerated Charging,B006GWO5WK,kindle hd.,1.83,0.00037,64,0,
Amazon Kindle 9W PowerFast Adapter for Accelerated Charging,B006GWO5WK,charger charge,2.38,2.00E-05,63,0,
Amazon Kindle 9W PowerFast Adapter for Accelerated Charging,B006GWO5WK,charger include,2.15,0.00012,62,0,
Amazon Kindle 9W PowerFast Adapter for Accelerated Charging,B006GWO5WK,cell phone,1,0.00431,62,0,
Amazon Kindle 9W PowerFast Adapter for Accelerated Charging,B006GWO5WK,fire hd.,1.03,0.0008,61,0,
Amazon Kindle 9W PowerFast Adapter for Accelerated Charging,B006GWO5WK,fast charger,1.55,0.0001,60,0,
Amazon Kindle 9W PowerFast Adapter for Accelerated Charging,B006GWO5WK,usb charger,1.43,9.00E-05,59,0,
WD Elements 500 GB USB 2.0 Desktop External Hard Drive,B002QEBMAK,hard drive,1.03,0.0003,376,1,
WD Elements 500 GB USB 2.0 Desktop External Hard Drive,B002QEBMAK,external drive,1.72,0.00023,274,1,
WD Elements 500 GB USB 2.0 Desktop External Hard Drive,B002QEBMAK,western digital,1,0.00345,172,1,
WD Elements 500 GB USB 2.0 Desktop External Hard Drive,B002QEBMAK,wd drive,1.91,0.0001,119,0,
WD Elements 500 GB USB 2.0 Desktop External Hard Drive,B002QEBMAK,backup drive,1.6,6.00E-05,74,1,
WD Elements 500 GB USB 2.0 Desktop External Hard Drive,B002QEBMAK,digital drive,1.98,7.00E-05,52,0,
WD Elements 500 GB USB 2.0 Desktop External Hard Drive,B002QEBMAK,usb drive,1.69,5.00E-05,51,0,
WD Elements 500 GB USB 2.0 Desktop External Hard Drive,B002QEBMAK,time machine,1.04,0.00153,47,1,
WD Elements 500 GB USB 2.0 Desktop External Hard Drive,B002QEBMAK,usb port,1.15,0.0016,46,1,
WD Elements 500 GB USB 2.0 Desktop External Hard Drive,B002QEBMAK,internal drive,1.59,0.00022,43,0,
WD Elements 500 GB USB 2.0 Desktop External Hard Drive,B002QEBMAK,tb drive,1.8,9.00E-05,43,0,
WD Elements 500 GB USB 2.0 Desktop External Hard Drive,B002QEBMAK,usb cable,1.13,0.00116,42,1,
WD Elements 500 GB USB 2.0 Desktop External Hard Drive,B002QEBMAK,plug play,2.05,0.00132,42,0,
WD Elements 500 GB USB 2.0 Desktop External Hard Drive,B002QEBMAK,western drive,2.44,6.00E-05,41,0,
WD Elements 500 GB USB 2.0 Desktop External Hard Drive,B002QEBMAK,wd external,1.57,0.00017,41,0,
WD Elements 500 GB USB 2.0 Desktop External Hard Drive,B002QEBMAK,usb external,2.19,0.00017,41,0,
WD Elements 500 GB USB 2.0 Desktop External Hard Drive,B002QEBMAK,external hard,1.14,0.00011,40,0,
WD Elements 500 GB USB 2.0 Desktop External Hard Drive,B002QEBMAK,wd hard,1.63,0.00011,38,0,
WD Elements 500 GB USB 2.0 Desktop External Hard Drive,B002QEBMAK,drive fail,1.75,0.00012,37,0,
WD Elements 500 GB USB 2.0 Desktop External Hard Drive,B002QEBMAK,wd elements,1,0.00096,35,1,
Apple TV MD199LL/A [NEWEST VERSION],B007I5JT4S,apple tv,1.06,0.00023,495,1,
Apple TV MD199LL/A [NEWEST VERSION],B007I5JT4S,iphone ipad,2.16,0.00106,165,0,
Apple TV MD199LL/A [NEWEST VERSION],B007I5JT4S,apple tv.,1.03,0.00023,163,0,
Apple TV MD199LL/A [NEWEST VERSION],B007I5JT4S,netflix hulu,2.09,0.00119,103,0,
Apple TV MD199LL/A [NEWEST VERSION],B007I5JT4S,stream video,1.6,0.00023,69,0,
Apple TV MD199LL/A [NEWEST VERSION],B007I5JT4S,tv show,1.12,0.00015,66,0,
Apple TV MD199LL/A [NEWEST VERSION],B007I5JT4S,watch movie,1.74,0.0003,63,0,
Apple TV MD199LL/A [NEWEST VERSION],B007I5JT4S,itunes library,1.17,0.00078,61,1,
Apple TV MD199LL/A [NEWEST VERSION],B007I5JT4S,stream netflix,1.52,0.00017,60,0,
Apple TV MD199LL/A [NEWEST VERSION],B007I5JT4S,stream movie,1.72,0.00021,59,0,
Apple TV MD199LL/A [NEWEST VERSION],B007I5JT4S,watch netflix,1.39,0.00022,56,0,
Apple TV MD199LL/A [NEWEST VERSION],B007I5JT4S,tv screen,1.48,0.00011,54,0,
Apple TV MD199LL/A [NEWEST VERSION],B007I5JT4S,movie tv,2.38,6.00E-05,52,0,
Apple TV MD199LL/A [NEWEST VERSION],B007I5JT4S,stream music,1.66,0.00025,50,0,
Apple TV MD199LL/A [NEWEST VERSION],B007I5JT4S,movie itunes,2.06,0.0002,50,0,
Apple TV MD199LL/A [NEWEST VERSION],B007I5JT4S,movie show,2.51,0.00044,49,0,
Apple TV MD199LL/A [NEWEST VERSION],B007I5JT4S,remote app,1.32,0.00058,45,1,
Apple TV MD199LL/A [NEWEST VERSION],B007I5JT4S,hbo go,1.04,0.00183,43,1,
Apple TV MD199LL/A [NEWEST VERSION],B007I5JT4S,stream content,1.56,0.00021,43,1,
Apple TV MD199LL/A [NEWEST VERSION],B007I5JT4S,watch tv,2.11,5.00E-05,42,0,
"TP-LINK TL-WN722N Wireless N150 High Gain USB Adapter, 150Mbps, 4dBi External Antenna, WPS Button, Support Windows XP/Vista/7/8",B002SZEOLG,tp link,1.88,0.00169,261,,1
"TP-LINK TL-WN722N Wireless N150 High Gain USB Adapter, 150Mbps, 4dBi External Antenna, WPS Button, Support Windows XP/Vista/7/8",B002SZEOLG,wireless adapter,1.55,0.00025,196,0,
"TP-LINK TL-WN722N Wireless N150 High Gain USB Adapter, 150Mbps, 4dBi External Antenna, WPS Button, Support Windows XP/Vista/7/8",B002SZEOLG,usb adapter,1.39,0.0003,179,1,
